         647060 function calls (643877 primitive calls) in 1.693 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.006    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:682(longest_strike_below_mean)
     1192    0.001    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:503(is_period_dtype)
   168/84    0.000    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/wrapper.py:22(__getattribute__)
      333    0.005    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:1149(diff)
      150    0.001    0.000    0.006    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:547(<listcomp>)
      932    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       72    0.000    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/stattools.py:90(<genexpr>)
   165/84    0.000    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tools/decorators.py:82(__get__)
       33    0.000    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:3354(_ureduce)
     2117    0.001    0.000    0.005    0.000 {method 'join' of 'str' objects}
     6015    0.004    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:2035(isscalar)
     1192    0.002    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:827(is_dtype)
      948    0.002    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:786(construct_from_string)
      308    0.005    0.000    0.005    0.000 {method 'unique' of 'pandas._libs.hashtable.Float64HashTable' objects}
     6027    0.005    0.000    0.005    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/nanops.py:1235(nanpercentile)
2166/2164    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.005    0.005 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:5624(pivot)
      153    0.001    0.000    0.005    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3034(get_block_type)
        1    0.000    0.000    0.005    0.005 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/reshape/pivot.py:367(pivot)
       69    0.000    0.000    0.004    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/regression/linear_model.py:1604(aic)
